ABGLF,ACACIA MNG PLC COMMON SHAR,04/21/2016,NASDAQ-OTC
ABGOF,AGENGOA SA ORD,04/21/2016,NASDAQ-OTC
ABGOY,ABENGOA SA ADR,04/21/2016,NASDAQ-OTC
ABGPF,ALABAMA GRAPHITE,04/21/2016,NASDAQ-OTC
ABGSF,ABG SUNDAL COLLIER A,04/21/2016,NASDAQ-OTC
ABHD,ABTECH HOLDINGS INC,04/21/2016,NASDAQ-OTC
ABHI,AMBICOM HOLDINGS INC. COM,04/21/2016,NASDAQ-OTC
ABHID,AMBICOM HOLDINGS INC. COM,04/21/2016,NASDAQ-OTC
ABIL,ABILITY INC ORDINARY SHARE,04/21/2016,NASDAQ-OTC
ABILW,ABILITY INC. WARRANT,04/21/2016,NASDAQ-OTC
ABIO,ARCA BIOPHARMA INC. COMMO,04/21/2016,NASDAQ-OTC
ABIWF,ABILITY INC. WARRANTS EXP.,04/21/2016,NASDAQ-OTC
ABKB,AMERICAN BASKETBALL,04/21/2016,NASDAQ-OTC
ABKI,ABAKAN INC,04/21/2016,NASDAQ-OTC
ABLE,ABLE ENERGY INC,04/21/2016,NASDAQ-OTC
ABLT,AMER BILTRITE INC,04/21/2016,NASDAQ-OTC
ABLYF,ABLYNX NV,04/21/2016,NASDAQ-OTC
ABLZF,ABB LTD ZUERICH,04/21/2016,NASDAQ-OTC
ABMBF,ABCOURT MINES INC CL,04/21/2016,NASDAQ-OTC
ABMC,AMER BIO MEDICA,04/21/2016,NASDAQ-OTC
ABMD,ABIOMED,04/21/2016,NASDAQ-OTC
ABMT,ADVANCED BIOMEDICAL,04/21/2016,NASDAQ-OTC
ABNAF,ABEN RESOURCES LTD. ORDIN,04/21/2016,NASDAQ-OTC
ABNK,ALTAPACIFIC BANCORP,04/21/2016,NASDAQ-OTC
ABOT,ABT HOLDINGS INC. COMMON,04/21/2016,NASDAQ-OTC
ABPA,ALLEGIANCE BANK (PA),04/21/2016,NASDAQ-OTC
ABPR,AIRBORNE SEC & PROT,04/21/2016,NASDAQ-OTC
ABQQ,AB INTL GROUP CORP,04/21/2016,NASDAQ-OTC
ABR-A,ARBOR REALTY TRUST PREF A,04/21/2016,NASDAQ-OTC
ABR-B,ARBOR REALTY TRUST PREF B,04/21/2016,NASDAQ-OTC
ABR-C,ARBOR REALTY TRUST INC. 8,04/21/2016,NASDAQ-OTC
ABRN,ARBOR REALTY TRUST INC 7.3,04/21/2016,NASDAQ-OTC
ABRTY,ABERTIS INFRAESTRUCT,04/21/2016,NASDAQ-OTC
ABRW,AMERICAN BREWING CO,04/21/2016,NASDAQ-OTC
ABSCF,AB SCIENCE PARIS,04/21/2016,NASDAQ-OTC
ABSOF,ABS CBN HLDGS CP,04/21/2016,NASDAQ-OTC
ABSSF,AIRBOSS OF AMERICA C,04/21/2016,NASDAQ-OTC
ABTL,AUTOBYTEL,04/21/2016,NASDAQ-OTC
ABTO,AB&T FINANCIAL CORP,04/21/2016,NASDAQ-OTC
ABTX,ALLEGIANCE BANCSHARES INC,04/21/2016,NASDAQ-OTC
ABTZY,ABOITIZ EQUITY,04/21/2016,NASDAQ-OTC
ABUS,ARBUTUS BIOPHARMA CORPORAT,04/21/2016,NASDAQ-OTC
ABVC,AMERICAN BRIVISION,04/21/2016,NASDAQ-OTC
ABVG,AFFINITY BEVERAGE GROUP I,04/21/2016,NASDAQ-OTC
ABZPF,ABOITIZ POWER CORP,04/21/2016,NASDAQ-OTC
ABZUF,ABZU GOLD LTD,04/21/2016,NASDAQ-OTC
ACAD,ACADIA PHARMACEUTICALS,04/21/2016,NASDAQ-OTC
ACAN,AMERICANN INC. COMMON STO,04/21/2016,NASDAQ-OTC
ACAR,ACTIVECARE INC,04/21/2016,NASDAQ-OTC
ACAS,AMERICAN CAPITAL,04/21/2016,NASDAQ-OTC
ACAT,ARCTIC CAT,04/21/2016,NASDAQ-OTC
ACAZF,ACADIAN TIMBER,04/21/2016,NASDAQ-OTC
ACBC,ALBINA COMMTY BCP OR,04/21/2016,NASDAQ-OTC
ACBFF,AURORA CANNABIS INC  ORDIN,04/21/2016,NASDAQ-OTC
ACBI,ATLANTIC CAPITAL BANCSHARE,04/21/2016,NASDAQ-OTC
ACCA,ACACIA DIVERSIFIED,04/21/2016,NASDAQ-OTC
ACCFF,ACCORD FINANCIAL CORP ORDI,04/21/2016,NASDAQ-OTC
ACCO,ACCO BRANDS,04/21/2016,NASDAQ-OTC
ACCR,ACCESS POWER INC,04/21/2016,NASDAQ-OTC
ACCYY,ACCOR S A AMERICAN DEPOSIT,04/21/2016,NASDAQ-OTC
