@JSA,AMEX NET TICK
DJTTELE,DJ TELECOMMUNICATIONS EURO
DJTTHEE,DJ TECHNOLOGY EURO INDEX
DJTUTSE,DJ UTILITES EURO INDEX
DJUS,DOW JONES US TOTAL MKT
DJUSAE,DJ US AEROSPACE INDEX
DJUSAF,DJ US AIR FREIGHT INDEX
DJUSAI,DJ US ADVANCE INDU EQUIP
DJUSAL,DJ US ALUMINUM INDEX
DJUSAM,DJ US ADVANCED MED DEV
DJUSAP,DJ US AUTOMOBILE INDEX
DJUSAR,DJ US AIRLINES INDEX
DJUSAT,DJ US AUTO PARTS INDEX
DJUSAU,DJ US AUTOMOBILE MANUFACT 
DJUSAV,DJ US ADVERTISING INDEX
DJUSAX,DJ US AUTO PARTS & TIRES
DJUSBC,DJ US BROADCASTING INDEX
DJUSBD,DJ US BUILDING MATERIALS
DJUSBK,DJ US BANKS INDEX 
DJUSBM,DJ US BASIC MATERIALS
DJUSBS,DJ US BASIC RESOURCES IDX 
DJUSBV,DJ US BEVERAGE INDEX
DJUSBX,DJ US BANKS
DJUSCA,DJ US CASINOS INDEX
DJUSCC,DJ US CHEMICAL COMMODITY
DJUSCE,DJ US CONSUMER ELECTRONI
DJUSCF,DJ US CLOTHING/FABRICS
DJUSCG,DJ US CYC GOODS & SRVCS
DJUSCH,DJ US CHEMICALS INDEX
DJUSCL,DJ US COAL INDEX
DJUSCM,DJ US COSMETICS INDEX
DJUSCN,DJ US CONSTRUCTION INDEX
DJUSCP,DJ US CONTAINERS & PACK
DJUSCR,DJ US COMPUTERS INDEX
DJUSCS,DJ US CONSUMER SERVICES
DJUSCT,DJ US COMMUNICATIONS TEC
DJUSCX,DJ US CHEMICALS SPECIALT
DJUSCY,DJ US CONSUMER CYCLICAL
DJUSDB,DJ US DISTILLERS & BREWE
DJUSDF,DJ US DIVERSIFIED FINANC
DJUSDV,DJ US DVRSFD TECH SERVICES
DJUSEC,DJ US ELECTRIC COMP&EQUI
DJUSEL,DJ US LEISURE GDS & SRVS
DJUSEN,DJ US ENERGY INDEX
DJUSET,DJ US ENTERTAINMENT
DJUSEU,DJ US ELECTRIC UTILITIES
DJUSFB,DJ US FOOD & BEVERAGE
DJUSFC,DJ US FIXED LINE COMMUN
DJUSFD,DJ US FOOD RETAILERS & W
DJUSFE,DJ US FACTORY EQUIPMENT
DJUSFH,DJ US FURNISHINGS & APPLS 
DJUSFI,DJ US FINANCIAL SRVC IDX
DJUSFN,DJ US FINANCIAL INDEX
DJUSFO,DJ US FOOD INDEX
DJUSFP,DJ US FOOD PRODUCTS
DJUSFR,DJ US FOREST PRODUCTS&PA
DJUSFS,DJ US FOREST PRODUCTS
DJUSFT,DJ US FOOTWARE INDEX
DJUSGL,DJ US LARGE CAP GROWTH
DJUSGM,DJ US MID CAP GROWTH
DJUSGR,DJ U.S. GROWTH INDEX
DJUSGS,DJ US SMALL CAP GROWTH IDX
DJUSGU,DJ US GAS UTILITIES
DJUSHB,DJ US HOME CONSTRUCTION
DJUSHC,DJ US HEALTHCARE INDEX
DJUSHD,DJ US HH PRODUCTS DURABL
DJUSHM,DJ US HOME CONS & FURNIS
DJUSHN,DJ US HH PROD NON-DURABL
DJUSHO,DJ US HOUSEHOLD PRODUCTS
DJUSHP,DJ US HEALTHCARE PROVIDE
DJUSHQ,DJ US TECHNOLOGY HW & EQ
