@JSA,AMEX NET TICK
S@VPA,AMEX PUTS VOLUME
S@VPC,CBOE PUTS VOLUME
S@VPP,PSE PUTS VOLUME
S@VPX,PHLX PUTS VOLUME
S@VSA,AMEX ISSUES VOL/IN (000)
S@VSS,NASDAQ SM CAP VOLUME
S@VST,NASDAQ NMS ISSUES VOL
SGX,S&P BARRA GROWTH
SHENB,SHENZEN STOCK-B
SHGA,SHANGHAI A
SHGB,SHANGHAI B
SINI,SINGAPORE ALL SHARES
SML,S&P 600 SMALL CAP 
SOX,PHLX SEMICONDUCT SECTOR
SPT00C&T,S&P/TSX CAPPED COMPOSITE
SPTTCD&T,S&P/TSX CAN CNSMR DISC
SPTTCS&T,S&P/TSX CAN CNSMR STAPLES 
SPTTEN&T,S&P/TSX CANA ENERGY SECTOR
SPTTFS&T,S&P/TSX CANA FINCL SECTOR 
SPTTGD&T,S&P/TSX CANADIAN GOLD IDX 
SPTTHC&T,S&P/TSX CAN HEALTH CARE
SPTTIN&T,S&P/TSX CAN INDUSTRIALS
SPTTMN&T,S&P/TSX CAN MINING INDEX
SPTTMT&T,S&P/TSX CAN MATERIALS
SPTTRE&T,S&P/TSX CAN REAL ESTATE
SPTTTK&T,S&P/TSX CANA INFO TECH SEC
SPTTTS&T,S&P/TSX CAN TELECOM SRVS
SPTTUT&T,S&P/TSX CAN UTILITIES
SPTX6C&T,S&P/TSX 60 CAPPED INDEX
SPX,S&P 500
SSX,TELERATE SHORT TERM SET
STRI,SINGAPORE STRAITS TIMES
SVX,S&P BARRA VALUE
SWI,SWISS MARKET
SXV,S&P DEP RCPTS TRADG VAL
SYDI,SYDNEY ALL ORDINARIES
TAI,TAIWAN WEIGHTED STOCK
TCAA,AMEX Calls Ticks Up
TCAD,AMEX Calls Ticks Down
TCAT,AMEX Calls Ticks Total
TCCA,CBOE Calls Ticks Up
TCCD,CBOE Calls Ticks Down
TCCT,CBOE Calls Ticks Total
TCPA,PSE Calls Ticks Up
TCPD,PSE Calls Ticks Down
TCPT,PSE Calls Ticks Total
TELE,NASDAQ COMBND TELECOMM
THAI,THAILAND SET INDEX
THDOW,DOW JONES THAILAND INDEX
TIAA,AMEX Issues Ticks Up
TIAD,AMEX Issues Ticks Down
TIAT,AMEX Issues Ticks Total
TICK,NYSE TICK 
TICK100,100 TICK
TICKQ,NASDAQ TICK
TIKA,NASDAQ Other OTC Ticks Up 
TIKC,65 COMPOSITE NET TICK
TIKD,NASDAQ Other OTC Ticks Down
TIKI,30 INDUSTRIALS NET TICK
TIKT,20 TRANSPORT NET TICK
TIKU,15 UTILITIES NET TICK
TIMA,NASDAQ NMS Issues Ticks Up
TIMD,NASDAQ NMS Issues Ticks Down
TIMT,NASDAQ NMS Issues Ticks Total
TINA,NYSE Issues Ticks Up
TIND,NYSE Issues Ticks Down
TINT,NYSE Issues Ticks Total
TIQA,NASDAQ Comb Ticks Up
TIQD,NASDAQ Comb Ticks Down
TIQT,NASDAQ Comb Ticks Total
TISA,NASDAQ Sm Cap Issues Ticks Up
TISD,NASDAQ Sm Cap Issues Ticks Down
TIST,NASDAQ Sm Cap Issues Ticks Total
TJUSTB,DJ US TOBACCO INDEX
TLVI,TEL AVIV MISHTANIM 100
TLVJ,TEL AVIV MAOF 25
TNS,10 YEAR TREASURY YIELD SET
TNX,10 YEAR T-NOTE INTEREST RATE
TOB,AMEX TOBACCO INDEX
TOP,AMEX EUROTOP 100
TOPIX1,TOPIX SEC 1
TOSTISNY,TOTAL ISSUES - NYSE
TOSTISOT,TOTAL ISSUES - OTC
TOSTVONY,TOTAL VOLUME - NYSE
TOSTVOOT,TOTAL VOLUME - OTC
TPAA,AMEX Puts Ticks Up
TPAD,AMEX Puts Ticks Down
TPAT,AMEX Puts Ticks Total
TPCA,CBOE Puts Ticks Up
TPCD,CBOE Puts Ticks Down
TPCT,CBOE Puts Ticks Total
TPPA,PSE Puts Ticks Up 
TPPD,PSE Puts Ticks Down
TPPT,PSE Puts Ticks Total
TRAN,DOW JONES 20 TRANSPORT
TRANX,NASDAQ COMBINED TRANS
TRIN,NYSE TRIN 
TRINQ,NASDAQ TRIN
TRN&T,TORONTO TRIN
TSX,S&P/TSX COMPOSITE INDEX
TX20&T,S&P/TSX CAN SM CAP IDX
TX40&T,S&P/TSX CAN MID CAP IDX
TX60&T,S&P/TSX 60 INDEX,
TXV,INDUSTRIAL SEL SECTOR NAV 
TXX,CBOE TECHNOLOGY,
TYS,30 YEAR TREASURY YIELD SET
TYX,30 YEAR TREASURY YIELD INDEX
UK50E,DJ UK TITANS 50 EURO INDEX
UNSTISNY,UNCHANGED ISSUES - NYSE
UNSTISOT,UNCHANGED ISSUES - OTC
UNSTVONY,UNCHANGED VOLUME - NYSE
UNSTVOOT,UNCHANGED VOLUME - OTC
USS,UNKNOWN
UTIL,DOW JONES 15 UTILITIES
UTY,PHLX UTILITY,
UXV,UTILITIES SEL SECTOR NAV
VAY,VALUE LINE ARITHMETIC
VCAA,AMEX Calls Volume Up
VCAD,AMEX Calls Volume Down
VCAT,AMEX Calls Volume Total
VCAU,AMEX Calls Volume Unchg
VCCA,CBOE Calls Volume Up
VCCD,CBOE Calls Volume Down
VCCT,CBOE Calls Volume Total
VCCU,CBOE Calls Volume Unchg
VCPA,PSE Calls Volume Up
VCPD,PSE Calls Volume Down
VCPT,PSE Calls Volume Total
VCPU,PSE Calls Volume Unchg
VCXA,PHLX Calls Volume Up
VCXD,PHLX Calls Volume Down
VCXT,PHLX Calls Volume Total
VCXU,PHLX Calls Volume Unchg
VEDOW,DJ VENEZUELA,
VFX,LEHMAN BROS FINCL IDX
VGY,VALUE LINE GEOMETRICAL
VI5A,NASDAQ 100 Issues Volume Up
VI5D,NASDAQ 100 Issues Volume Down
VI5T,NASDAQ 100 Issues Volume Total
VI5U,NASDAQ 100 Issues Volume Unchg
VI6A,S&P 500 Issues Volume Up
VI6D,S&P 500 Issues Volume Down
VI6T,S&P 500 Issues Volume Total
VI6U,S&P 500 Issues Volume Unchg
VIAA,AMEX Issues Volume Up
VIAD,AMEX Issues Volume Down
VIAT,AMEX Issues Volume Total
VIAU,AMEX Issues Volume Unchg
VIMA,NASDAQ NMS Issues Volume Up
VIMD,NASDAQ NMS Issues Volume Down
VIMT,NASDAQ NMS Issues Volume Total
VIMU,NASDAQ NMS Issues Volume Unchg
VINA,NYSE Issues Volume Up
VIND,NYSE Issues Volume Down
VINT,NYSE Issues Volume Total
VINU,NYSE Issues Volume Unchg
VIQA,NASDAQ Comb Issues Volume Up
VIQD,NASDAQ Comb Issues Volume Down
VIQT,NASDAQ Comb Issues Volume Total
VIQU,NASDAQ Comb Issues Volume Unchg
VISA,NASDAQ Sm Cap Issues Volume Up
VISD,NASDAQ Sm Cap Issues Volume Down
VIST,NASDAQ Sm Cap Issues Volume Total 
VISU,NASDAQ Sm Cap Issues Volume Unchg 
VIX,CBOE VOLATILITY
VPAA,AMEX Puts Volume Up
VPAD,AMEX Puts Volume Down
VPAT,AMEX Puts Volume Total
VPAU,AMEX Puts Volume Unchg
VPCA,CBOE Puts Volume up
VPCD,CBOE Puts Volume Down
VPCT,CBOE Puts Volume Total
VPCU,CBOE Puts Volume Unchg
VPPA,PSE Puts Volume Up
VPPD,PSE Puts Volume Down
VPPT,PSE Puts Volume Total
VPPU,PSE Puts Volume Unchg
VPXA,PHLX Puts Volume Up
VPXD,PHLX Puts Volume Down
VPXT,PHLX Puts Volume Total
VPXU,PHLX Puts Volume Unchg
VXN,QQQ OPTION VOLATILITY IDX
WIL45,WILSHIRE 4500 INDEX
WLX,WILSHIRE 5000,
WWC,I SHARES MSCI-BRAZIL NAV
X0,HDD WEATHER-LAS VEGAS
X1,HDD WEATHER-ATLANTA FEB
X2,HDD WEATHER-CHICAGO FEB
X3,HDD WEATHER-CIN FEB
X4,HDD WEATHER-NEW YORK FEB
X5,HDD WEATHER-DALLAS
X6,HDD WEATHER-PHILADELPHIA
X7,HDD WEATHER-PORTLAND
X8,HDD WEATHER-TUCSON
X9,HDD WEATHER-DES MOINES
XAH,INTERNET ARCHITECT HOLDR
XAL,AMEX AIRLINES
XAU,PHLX GOLD & SILVER
XAX,AMEX COMPOSITE
XBD,AMEX SECS BRKR/DEALER
XCI,AMEX COMPUTER TECH
XEO,EURO S&P 100
XFI,AMEX FINANCIAL
XHL,AMEX HEALTHCARE
XI,MERRILL LYNCH SENSITIVE
XID,AMEX INDUSTRIALS
XII,AMEX INSTITUTIONAL
XIT,AMEX INFORMATION TECH
XLT,AMEX MAJOR MKT LEAPS
XMI,AMEX MAJOR MKT
XNA,AMEX NATURAL RESOURCES
XNG,AMEX NATURAL GAS
XOI,AMEX OIL
XT,MERRILL LYNCH EARLY CYCL
XTC,AMEX NORTH AMER TELECOM
YIH,INTERNET INFRA HOLDRS
YLS,PHLX WIRELESS TELECOM
Z0,CDD WEATHER-LAS VEGAS
Z1,CDD WEATHER-ATLANTA
Z2,CDD WEATHER-CHICAGO
Z3,CDD WEATHER-CINCINNATI
Z4,CDD WEATHER-NEW YORK
Z5,CDD WEATHER-DALLAS
Z6,CDD WEATHER-PHILADELPHIA
Z7,CDD WEATHER-PORTLAND
Z8,CDD WEATHER-TUCSON
Z9,CDD WEATHER-DES MOINES
