AKO A,EMBOTELLADORA ANDINA,04/21/2016
AKO B,EMBOTELLADORA ANDINA,04/21/2016
AKP,ALLIANCE CA MUNICIPAL INCO,04/21/2016
AKR,ACADIA REALTY TRUST,04/21/2016
AKS,AK STEEL HOLDING,04/21/2016
AL,AIR LEASE,04/21/2016
ALB,ALBEMARLE,04/21/2016
ALD,WISDOMTREE ASIA LOCAL DEBT,04/21/2016
ALE,ALLETE,04/21/2016
ALG,ALAMO GROUP,04/21/2016
ALJ,ALON USA ENERGY,04/21/2016
ALK,ALASKA AIR GROUP,04/21/2016
ALL,ALLSTATE,04/21/2016
ALN,AMERICAN LORAIN,04/21/2016
ALR,ALERE,04/21/2016
ALV,AUTOLIV,04/21/2016
ALX,ALEXANDER'S,04/21/2016
AM,ANTERO RESOURCES MIDSTREAM,04/21/2016
AMC,AMC ENTERTAINMENT HOLDINGS,04/21/2016
AMD,ADVANCED MICRO DEVICES IN,04/21/2016
AME,AMETEK,04/21/2016
AMG,AFFILIATED MANAGERS GROUP,04/21/2016
AMH,AMERICAN HOMES 4 RENT,04/21/2016
AMJ,JPMORGAN ALERIAN MLP INDEX,04/21/2016
AMP,AMERIPRISE FINANCIAL,04/21/2016
AMS,AMERICAN SHARED HOSPITAL,04/21/2016
AMT,AMERICAN TOWER,04/21/2016
AMU,UBS E-TRACS ALERIAN MLP IN,04/21/2016
AMX,AMERICA MOVIL,04/21/2016
AN,AUTONATION,04/21/2016
AND,GLOBAL X FTSE ANDEAN 40 ET,04/21/2016
ANF,ABERCROMBIE & FITCH,04/21/2016
ANH,ANWORTH MORTGAGE ASSET,04/21/2016
ANW,AEGEAN MARINE PETROLEUM,04/21/2016
ANY,SPHERE 3D CORP. COMMON SHA,04/21/2016
AOA,ISHARES CORE  AGGRESSIVE A,04/21/2016
AOD,ALPINE TOTAL DYNAMIC DIVID,04/21/2016
AOI,ALLIANCE ONE,04/21/2016
AOK,ISHARES CORE CONSERVATIVE,04/21/2016
AOM,ISHARES CORE MODERATE ALLO,04/21/2016
AON,AON,04/21/2016
AOR,ISHARES CORE  GROWTH ALLOC,04/21/2016
AOS,A.O. SMITH,04/21/2016
AP,AMPCO-PITTSBURGH,04/21/2016
APA,APACHE,04/21/2016
APB,ASIA PACIFIC FUND COMMON,04/21/2016
APC,ANADARKO PETROLEUM,04/21/2016
APD,AIR PRODUCTS & CHEMICALS,04/21/2016
APF,MS ASIA PACIFIC COMMON,04/21/2016
APH,AMPHENOL,04/21/2016
APO,APOLLO GLOBAL MANAGEMENT,04/21/2016
APT,ALPHA PRO TECH,04/21/2016
APU,AMERIGAS PARTNERS,04/21/2016
AR,ANTERO RESOURCES CORP,04/21/2016
ARA,AMERICAN RENAL ASSOCIATES,04/21/2016
ARC,ARC DOCUMENT SOLUTIONS,04/21/2016
ARE,ALEXANDRIA REAL ESTATE,04/21/2016
ARG,AIRGAS,04/21/2016
ARI,APOLLO COMMERCIAL,04/21/2016
ARL,AMERICAN REALTY INVESTORS,04/21/2016
ARO,AEROPOSTALE,04/21/2016
ARP,ATLAS RESOURCE PARTNERS LP,04/21/2016
ARR,ARMOUR RESIDENTIAL REIT IN,04/21/2016
ARU,ARES CAPITAL CORPORATION,04/21/2016
ARW,ARROW ELECTRONICS,04/21/2016
ASA,ASA GOLD AND PRECIOUS META,04/21/2016
ASB,ASSOCIATED BANC-CORP,04/21/2016
ASBw,ASSOCIATED BANCORP WTS,04/21/2016
ASC,ARDMORE SHIPPING CORP,04/21/2016
ASG,LIBERTY ALL-STAR GROWTH CO,04/21/2016
ASH,ASHLAND,04/21/2016
ASM,AVINO SILVER & GOLD MINES,04/21/2016
ASR,GRUPO AEROPORTUARIO DEL,04/21/2016
AST,ASTERIAS BIOTHERAPEUTICS I,04/21/2016
ASTww,ASTERIAS BIOTHERPEUTICS IN,04/21/2016
ASX,ADVANCED SEMICONDUCTOR,04/21/2016
AT,ATLANTIC POWER CORPORATIO,04/21/2016
ATE,ADVANTEST,04/21/2016
ATI,ALLEGHENY TECHNOLOGIES,04/21/2016
ATO,ATMOS ENERGY,04/21/2016
ATR,APTARGROUP,04/21/2016
ATU,ACTUANT,04/21/2016
ATV,ACORN INTERNATIONAL,04/21/2016
ATW,ATWOOD OCEANICS,04/21/2016
AU,ANGLOGOLD,04/21/2016
AUO,AU OPTRONICS,04/21/2016
AUY,YAMANA GOLD,04/21/2016
AV,AVIVA,04/21/2016
AVA,AVISTA,04/21/2016
AVB,AVALONBAY COMMUNITIES,04/21/2016
