SYMBOL	nAME
QR7	PJM AEP DAYTON OFF_PEAK LMP
QRB	RBOB GASOLINE
QRBB	RBOB GASOLINE VS BRENT CRACK SPREAD
QRJ	REGIONAL GRNHSE GAS INITIATIVE
QRLX	RBOB CALENDAR
QRM	RBOB CRACK SPREAD
QRT	RBOB FINANCIAL
QRV	GULF COAST UNL 87 VS RBOB
QSD	SINGAPORE FUEL OIL SPREAD
QSE	SINGAPORE 380CST FUEL OIL
QSF1	SINGAPORE FUEL OIL 180CST BRENT CRACK
QSF3	SINGAPORE FUEL OIL 380CST BRENT CRACK
QSGW	SOCAL GAS CITY GATE SWAP (PLATTS)
QSI	SILVER
QSIL	SILVER 1000 OZ
QSZ	SONAT BASIS
QT3	NYISO ZN G 5 MW DAY AHEAD (PEAK)
QT5	NGPL STX NATURAL GAS BASIS
QTC	COLUMBIA GAS TCO BASIS
QTE	TETCO EAST LA BASIS
QTIC	IRON ORE 58% TSI
QTR	TRANSCO ZONE4 BASIS
QTT	COTTON
QTX	TETCO S TEXAS BASIS
QTZ6	TRANSCO ZONE 6 NON-NY NAT GAS BASIS
QTZI	TRANSCO ZONE 6 NON-NY NAT GAS INDEX
QUA	EURO SINGAPORE FUEL OIL 180CST CAL
QUFG	UREA FOB EGYPT SWAP
QUFN	UREA FOB US GULF COAST SWAP
QUFU	UAN FOB NOLA SWAPS
QUFZ	UREA FOB YUZHNY SWAP
QUN	EUROPEAN NAPHTHA CAL
QUT	GULF COAST #2 (PLATTS) UP-DN CAL
QUV	EURO 3.5% FUEL OIL ROTTERDAM CL
QUX	URANIUM U308
QV0	SINGAPORE MOGAS 95 UNL PLATTS
QV3	PJM AD HUB 5 MW RT (OFF PEAK)
QV8	MALIN NATURAL GAS INDEX
QVI	VENTURA INDEX
QVR	NY 1% FUEL OIL/ GULF COAST 3% FUEL OIL
QWCE	WESTERN CANADIAN SELECT CRUDE
QWFS	WAHA NATURAL GAS FIXED PRICE
QWS	CRUDE OIL FINANCIAL
QWTA	WTS VS WTI FINANCIAL
QWTI	WTI MIDLAND TRADE MONTH
QWTS	WTS FINANCIAL
QWTT	WTI MIDLAND VS WTI TRADE MONTH
QXH	PANHANDLE NATURAL GAS FIXED PRICE
QXJT	HOUSTON SHIP CHANNEL NATURAL GAS
QXR	ROCKIES NATURAL GAS FIXED PRICE
QXX	SAN JUAN NATURAL GAS FIXED PRICE
QY6	TRANSCO ZONE 3 NATURAL GAS INDEX
QY7	TENNESSEE 500 LEG NATURAL GAS INDEX
QY8	MICHCON NATURAL GAS INDEX
QYO	SUGAR #11
QZ5P	TEXAS EASTERN ZONE M-3 NAT GAS FIXED
QZIY	RBOB CALENDAR SPREAD 1 MO
QZNC	ZINC
RBT	RBOB GASOLINE (TAS)
RT	RBOB FINANCIAL
SIT	SILVER (TAS)
SP	S&P 500 INDEX
TO	COLUMBIA GAS TCO BASIS
WS	CRUDE OIL FINANCIAL
XH	PANHANDLE BASIS SWAP SYNTHETIC
XJ	HOUSTON SHIP CHANNEL
XN	SOCAL PIPE SYNTHETIC FUTURE
XO	CHICAGO PIPE (SYNTHETIC)
XQ	PGE CITYGATE
XR	NORTHERN ROCKIES PIPE SYNTHETIC
XX	SAN JUAN PIPE SYNTHETIC
