SYMBOL	nAME
@K9	CDD - DES MOINES
@KAT	AUSTRALIAN $/US $ TAS
@KAU	AUSTRALIAN $/US $ (NEW)
@KB	CDD - BOSTON
@KBX	BRAZILIAN REAL/US DOLLAR
@KC	COFFEE
@KCT	COFFEE (TAS)
@KCU	COLOMBIAN PESO/US $ (NEW)
@KEJ	EURO/JAPANESE YEN (NEW)
@KEO	EURO/US DOLLAR (NEW)
@KEP	EURO/CANADIAN DOLLAR (NEW)
@KET	EURO/CANADIAN DOLLAR TAS
@KGB	EURO/BRITISH POUND (NEW)
@KGT	EURO/BRITISH POUND TAS
@KIU	INDIAN RUPEE/US DOLLAR
@KJ	SWEDISH KRONA/YEN
@KJT	EURO/JAPANESE YEN TAS
@KKT	EURO/SWEDISH KRONA TAS
@KMF	SWISS FRANC/US $ (NEW)
@KMP	MEXICAN PESO/US $ (NEW)
@KOL	EURO/NORWEGIAN KRONE (NEW)
@KOT	EURO/NORWEGIAN KRONE TAS
@KQ	CDD - MINNEAPOLIS
@KR	CDD - HOUSTON
@KRA	EURO/AUSTRALIAN DOLLAR (NEW)
@KRK	EURO/SWEDISH KRONA (NEW)
@KRT	EURO/AUSTRALIAN DOLLAR TAS
@KRU	RUBLE-US DOLLAR
@KRW	KOREAN WON/US DOLLAR
@KRZ	EURO/SWISS FRANC (NEW)
@KS	CDD - SACRAMENTO
@KSN	JAPANESE YEN/US $ (NEW)
@KSV	CANADIAN $/US $ (NEW)
@KTT	EURO/US DOLLAR TAS
@KV	CDD - BALTIMORE
@KX	CDD - KANSAS CITY
@KXD	US $/SWEDISH KRONA
@KY	NORWAY KRONE/YEN
@KYT	SWISS FRANC/JAPANESE YEN TAS
@KZT	EURO/SWISS FRANC TAS
@KZX	NEW ZEALAND $/US $ (NEW)
@KZY	SWISS FRANC/JAPANESE YEN (NEW)
@LA	LOS ANGELES HOME PRICE INDEX
@LB	RANDOM LENGTH LUMBER
@LE	LIVE CATTLE
@LET	LIVE CATTLE TAS
@LV	LAS VEGAS HOME PRICE INDEX
@M6A	E-MICRO AUD/USD
@M6B	E-MICRO GBP/USD
@M6C	E-MICRO USD/CAD
@M6E	E-MICRO EUR/USD
@M6J	E-MICRO USD/JPY
@M6S	E-MICRO USD/CHF
@MAW	MINI MSCI ACWI INDEX
@MCD	E-MICRO CAD/USD
@MCE	MSCI EUROPE INDEX
@MCL	MINI MSCI CANADA INDEX
@MCV	MINI MSCI USA VALUE MINI INDEX
@MCX	MGEX-CBOT WHEAT ICSO SYNTHETIC
@ME	E-MINI EURO FX
@MEU	MINI MSCI EURO INDEX
@MFS	MINI MSCI EAFE INDEX
@MFU	MINI MSCI EAFE NTR INDEX
@MGE	MINI MSCI EUROPE GROWTH INDEX
@MI	MIAMI HOME PRICE INDEX
@MIR	INR/USD E-MICRO
@MJY	E-MICRO JPY/USD
@MKC	MINI KC HRW WHEAT
@MKC	MINI KC HRW WHEAT
@MLE	MINI MSCI EMERGING MARKETS LATIN AMER
@MLP	S&P MLP INDEX
@MME	MINI MSCI EMERGING MARKETS
@MMN	MINI MSCI EMERGING MKTS NTR INDEX
@MMW	MINI MSCI ACWI NTR INDEX
@MNF	E-MINI S&P CNX NIFTY INDEX
@MNH	E-MICRO USD/OFFSHORE RMB
@MNY	E-MICRO USD/RMB WITH USD BANKING
@MP	SMALL BRITISH PD/US $
@MPP	MINI MSCI PAN-EURO INDEX
@MPT	SMALL BRITISH PD/US $ TAS
@MPU	MINI MSCI EUROPE VALUE INDEX
@MRG	MINI MSCI USA GROWTH MINI INDEX
@MSF	E-MICRO CHF/USD
@MUN	MINI MSCI USA INDEX
@MWL	MINI MSCI WORLD INDEX
@N1	10 YEAR USD INTEREST RATE SWAP
@N1E	10 YEAR EUR INTEREST RATE SWAP
@NE	NEW ZEALAND DOLLAR
@NF	NONFAT DRY MILK
@NIY	NIKKEI 225 YEN INDEX
@NJ	NORWEGIAN KRONE/SWEDISH KRONA
@NKD	NIKKEI 225 DOLLAR INDEX
@NOB	10YR NOTE- 30 YR TBOND
@NOK	NORWEGIAN KRONE
@NOL	10YR NOTE- ULTRA T BOND
@NOL	10YR NOTE- ULTRA T BOND
@NQ	E-MINI NASDAQ 100
@NT	US $/NORWEGIAN KRONE
@NY	NY HOME PRICE INDEX
@O	OATS
@OJ	ORANGE JUICE - A
@OJT	ORANGE JUICE - A (TAS)
@PC	STERLING/CANADIAN $
@PJY	BRITISH PD/JAPANSE YEN
@PK	STERLING/NORWAY KRONE
@PLE	POLISH ZLOTY/EURO
@PLN	POLISH ZLOTY/US DOLLAR
@PLZ	POLISH ZLOTY
@PS	STERLING/SWEDISH KRONA
@PSF	BRITISH PD/SWISS FRANC
@PX	MEXICAN PESO
@PY	BRITISH PD/JAPANESE YEN
@PZ	STERLING/SO AFR. RAND
@QA	STERLING/AUSTRALIAN $
@QC	E-MINI COPPER
@QC2	CORN CSO DEC-DEC SYNTHETIC
@QC3	CORN CSO CONSECUTIVE SYNTHETIC
@QC4	SOYBEANS CSO AUG-NOV SYNTHETIC
@QC6	CORN CSO JUL-DEC SYNTHETIC
@QC7	CORN CSO MAR-
@QC8	CORN CSO DEC-JUL SYNTHETIC
@QCC	CORN CSO MAR-DEC SYNTHETIC
@QCN	E-MINI NASDAQ COMPOSITE
@QCW	CORN-WHEAT ICSO SYNTHETIC
@QG	E-MINI NATURAL GAS
@QH	E-MINI NY HARBOR ULSD
@QI	MINY SILVER
@QM	E-MINI CRUDE OIL
@QM2	SOYBEAN MEAL CSO CONSECUTIVE SYNTHETIC
@QM3	SOYBEAN MEAL CSO DEC-JULY SYNTHETIC
@QM5	SOYBEAN MEAL CSO SEP-DEC SYNTHETIC
@QM5	SOYBEAN MEAL CSO SEP-DEC SYNTHETIC
@QM6	SOYBEAN MEAL CSO JUL-DEC SYNTHETIC
@QO	MINY GOLD
@QO2	SOYBEAN OIL CSO CONSECUTIVE SYNTHETIC
@QO3	SOYBEAN OIL CSO DEC-JUL SYNTHETIC
@QO4	SOYBEAN OIL CSO AUG-DEC SYNTHETIC
@QO5	SOYBEAN OIL CSO SEP-DEC SYNTHETIC
@QO6	SOYBEAN OIL CSO JUL-DEC SYNTHETIC
@QS0	SOYBEANS CSO MAR-NOV SYNTHETIC
@QS0	SOYBEANS CSO MAR-NOV SYNTHETIC
@QS1	SOYBEANS CSO
@QS2	SOYBEANS CSO NOV-NOV SYNTHETIC
@QS3	SOYBEANS CSO NOV-MAR SYNTHETIC
@QS5	SOYBEANS CSO JAN-
@QS8	SOYBEANS CSO JAN-MAR SYNTHETIC
@QS9	SOYBEANS CSO NOV-JUL SYNTHETIC
@QU	E-MINI RBOB GASOLINE
@QW2	WHEAT CSO JUL-JUL SYNTHETIC
@QW3	WHEAT CSO CONSECUTIVE SYNTHETIC
@QW6	WHEAT CSO DEC-JUL SYNTHETIC
@QX5	SOYBEANS CSO MAR-JUL SYNTHETIC
@RA	SOUTH AFRICAN RAND
